episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
188.0,-106.42857142857143,4.289269174848284,-74.93033854166667,0.0,-102.14285714285714
189.0,-117.14285714285714,3.1210323515392484,-53.80232166108631,0.0,-105.14285714285714
190.0,-117.85714285714286,3.516871077673776,-38.360572451636905,0.0,-105.42857142857142
191.0,-117.14285714285714,5.218326148532686,-92.73957170758929,0.0,-107.21428571428571
192.0,-75.71428571428571,4.202368452435448,-66.45490955171131,0.0,-104.71428571428571
193.0,-104.28571428571429,4.621369214284988,-23.10142589750744,0.0,-103.71428571428571
194.0,-88.57142857142857,4.263925416128976,-69.48645600818452,0.0,-102.07142857142858
195.0,-127.85714285714286,5.038337593986874,-58.31057593936012,0.0,-103.35714285714286
196.0,-106.42857142857143,4.255786203202748,-52.32789829799107,0.0,-104.5
197.0,-99.28571428571429,4.90682129632859,-36.119405110677086,0.0,-106.07142857142858
198.0,-109.28571428571429,3.687243279956636,-5.2458612351190474,0.0,-106.35714285714286
199.0,-114.28571428571429,3.643130268369402,-34.483194986979164,0.0,-106.07142857142858
200.0,-111.42857142857143,4.139330682300386,-6.124331519717262,0.0,-105.42857142857144
201.0,-108.57142857142857,4.169329268591745,-18.242588588169642,0.0,-104.57142857142858
202.0,-80.71428571428571,3.584067707970029,-36.417486281622026,0.0,-105.07142857142858
203.0,-130.0,3.897683336621239,-44.596078055245535,0.0,-107.64285714285714
204.0,-87.14285714285714,3.688777889524187,-50.660638718377974,0.0,-107.5
205.0,-101.42857142857143,4.582939000356765,-34.859476725260414,0.0,-104.85714285714285
206.0,-90.0,3.8388814472016835,-18.409127371651785,0.0,-103.21428571428571
207.0,-117.14285714285714,4.3082196826026555,-56.718331473214285,0.0,-105.0
208.0,-77.85714285714286,3.4541502793629966,-37.614952450706845,0.0,-101.85714285714286
209.0,-111.42857142857143,4.292115915389288,-66.60940987723214,0.0,-101.57142857142858
210.0,-143.57142857142858,3.0490221068972634,-32.40831066313244,0.0,-104.78571428571429
211.0,-90.0,4.07772209530785,-65.12684268043155,0.0,-102.92857142857142
212.0,-107.85714285714286,5.169112705049061,-88.94616117931548,0.0,-105.64285714285714
213.0,-93.57142857142857,3.950713271186465,-38.376363118489586,0.0,-102.0
214.0,-116.42857142857143,4.085110584894816,-25.119326636904763,0.0,-104.92857142857142
215.0,-93.57142857142857,3.993624755314418,-72.93113490513393,0.0,-104.14285714285714
216.0,-97.14285714285714,3.708159787314279,-54.950828915550595,0.0,-104.85714285714285
